ticker,trade_date,open_price,close_price,high,low,adjusted_close,volume
AAPL,2024-09-11T04:00:00.000Z,221.4600067139,222.6600036621,223.0899963379,217.8899993896,221.4139099121,44587100
AAPL,2024-09-12T04:00:00.000Z,222.5,222.7700042725,223.5500030518,219.8200073242,221.5232849121,37455600
AAPL,2024-09-13T04:00:00.000Z,223.5800018311,222.5,224.0399932861,221.9100036621,221.2547912598,36766600
AAPL,2024-09-16T04:00:00.000Z,216.5399932861,216.3200073242,217.2200012207,213.9199981689,215.1093902588,59357400
AAPL,2024-09-17T04:00:00.000Z,215.75,216.7899932861,216.8999938965,214.5,215.5767364502,45519300
AAPL,2024-09-18T04:00:00.000Z,217.5500030518,220.6900024414,222.7100067139,217.5399932861,219.4549255371,59894900
AAPL,2024-09-19T04:00:00.000Z,224.9900054932,228.8699951172,229.8200073242,224.6300048828,227.5891418457,66781300
AAPL,2024-09-20T04:00:00.000Z,229.9700012207,228.1999969482,233.0899963379,227.6199951172,226.9228820801,318679900
AAPL,2024-09-23T04:00:00.000Z,227.3399963379,226.4700012207,229.4499969482,225.8099975586,225.2025909424,54146000
AAPL,2024-09-24T04:00:00.000Z,228.6499938965,227.3699951172,229.3500061035,225.7299957275,226.0975189209,43556100
AAPL,2024-09-25T04:00:00.000Z,224.9299926758,226.3699951172,227.2899932861,224.0200042725,225.1031188965,42308700
AAPL,2024-09-26T04:00:00.000Z,227.3000030518,227.5200042725,228.5,225.4100036621,226.2467041016,36636700
AAPL,2024-09-27T04:00:00.000Z,228.4600067139,227.7899932861,229.5200042725,227.3000030518,226.5151824951,34026000
AAPL,2024-09-30T04:00:00.000Z,230.0399932861,233.0,233.0,229.6499938965,231.6960449219,54541900
AAPL,2024-10-01T04:00:00.000Z,229.5200042725,226.2100067139,229.6499938965,223.7400054932,224.9440307617,63285000
AAPL,2024-10-02T04:00:00.000Z,225.8899993896,226.7799987793,227.3699951172,223.0200042725,225.5108337402,32880600
AAPL,2024-10-03T04:00:00.000Z,225.1399993896,225.6699981689,226.8099975586,223.3200073242,224.4070281982,34044200
AAPL,2024-10-04T04:00:00.000Z,227.8999938965,226.8000030518,228.0,224.1300048828,225.5307312012,37245100
AAPL,2024-10-07T04:00:00.000Z,224.5,221.6900024414,225.6900024414,221.3300018311,220.4493255615,39505400
AAPL,2024-10-08T04:00:00.000Z,224.3000030518,225.7700042725,225.9799957275,223.25,224.5065002441,31855700
AAPL,2024-10-09T04:00:00.000Z,225.2299957275,229.5399932861,229.75,224.8300018311,228.2554016113,33591100
AAPL,2024-10-10T04:00:00.000Z,227.7799987793,229.0399932861,229.5,227.1699981689,227.7581787109,28183500
AAPL,2024-10-11T04:00:00.000Z,229.3000030518,227.5500030518,229.4100036621,227.3399963379,226.2765350342,31759200
AAPL,2024-10-14T04:00:00.000Z,228.6999969482,231.3000030518,231.7299957275,228.6000061035,230.0055389404,39882100
AAPL,2024-10-15T04:00:00.000Z,233.6100006104,233.8500061035,237.4900054932,232.3699951172,232.5412902832,64751400
AAPL,2024-10-16T04:00:00.000Z,231.6000061035,231.7799987793,232.1199951172,229.8399963379,230.4828491211,34082200
AAPL,2024-10-17T04:00:00.000Z,233.4299926758,232.1499938965,233.8500061035,230.5200042725,230.8507843018,32993800
AAPL,2024-10-18T04:00:00.000Z,236.1799926758,235.0,236.1799926758,234.0099945068,233.6848449707,46431500
AAPL,2024-10-21T04:00:00.000Z,234.4499969482,236.4799957275,236.8500061035,234.4499969482,235.156539917,36254500
AAPL,2024-10-22T04:00:00.000Z,233.8899993896,235.8600006104,236.2200012207,232.6000061035,234.5400085449,38846600
AAPL,2024-10-23T04:00:00.000Z,234.0800018311,230.7599945068,235.1399993896,227.7599945068,229.4685668945,52287000
AAPL,2024-10-24T04:00:00.000Z,229.9799957275,230.5700073242,230.8200073242,228.4100036621,229.2796478271,31109500
AAPL,2024-10-25T04:00:00.000Z,229.7400054932,231.4100036621,233.2200012207,229.5700073242,230.1149291992,38802300
AAPL,2024-10-28T04:00:00.000Z,233.3200073242,233.3999938965,234.7299957275,232.5500030518,232.0937805176,36087100
AAPL,2024-10-29T04:00:00.000Z,233.1000061035,233.6699981689,234.3300018311,232.3200073242,232.3622894287,35417200
AAPL,2024-10-30T04:00:00.000Z,232.6100006104,230.1000061035,233.4700012207,229.5500030518,228.8122558594,47070900
AAPL,2024-10-31T04:00:00.000Z,229.3399963379,225.9100036621,229.8300018311,225.3699951172,224.6457061768,64370100
AAPL,2024-11-01T04:00:00.000Z,220.9700012207,222.9100036621,225.3500061035,220.2700042725,221.6624908447,65276700
AAPL,2024-11-04T05:00:00.000Z,220.9900054932,222.0099945068,222.7899932861,219.7100067139,220.7675170898,44944500
AAPL,2024-11-05T05:00:00.000Z,221.8000030518,223.4499969482,223.9499969482,221.1399993896,222.1994781494,28111300
AAPL,2024-11-06T05:00:00.000Z,222.6100006104,222.7200012207,226.0700073242,221.1900024414,221.4735412598,54561100
AAPL,2024-11-07T05:00:00.000Z,224.6300048828,227.4799957275,227.8800048828,224.5700073242,226.2069091797,42137700
AAPL,2024-11-08T05:00:00.000Z,227.1699981689,226.9600067139,228.6600036621,226.4100036621,225.9381408691,38328800
AAPL,2024-11-11T05:00:00.000Z,225.0,224.2299957275,225.6999969482,221.5,223.2204284668,42005600
AAPL,2024-11-12T05:00:00.000Z,224.5500030518,224.2299957275,225.5899963379,223.3600006104,223.2204284668,40398300
AAPL,2024-11-13T05:00:00.000Z,224.0099945068,225.1199951172,226.6499938965,222.7599945068,224.1064147949,48566200
AAPL,2024-11-14T05:00:00.000Z,225.0200042725,228.2200012207,228.8699951172,225.0,227.1924743652,44923900
AAPL,2024-11-15T05:00:00.000Z,226.3999938965,225.0,226.9199981689,224.2700042725,223.9869537354,47923700
AAPL,2024-11-18T05:00:00.000Z,225.25,228.0200042725,229.7400054932,225.1699981689,226.9933624268,44633700
AAPL,2024-11-19T05:00:00.000Z,226.9799957275,228.2799987793,230.1600036621,226.6600036621,227.2521972656,36211800
AAPL,2024-11-20T05:00:00.000Z,228.0599975586,229.0,229.9299926758,225.8899993896,227.9689483643,35169600
AAPL,2024-11-21T05:00:00.000Z,228.8800048828,228.5200042725,230.1600036621,225.7100067139,227.4911193848,42108300
AAPL,2024-11-22T05:00:00.000Z,228.0599975586,229.8699951172,230.7200012207,228.0599975586,228.8350372314,38168300
AAPL,2024-11-25T05:00:00.000Z,231.4600067139,232.8699951172,233.25,229.7400054932,231.8215179443,90152800
AAPL,2024-11-26T05:00:00.000Z,233.3300018311,235.0599975586,235.5700073242,233.3300018311,234.0016784668,45986200
AAPL,2024-11-27T05:00:00.000Z,234.4700012207,234.9299926758,235.6900024414,233.8099975586,233.8722381592,33498400
AAPL,2024-11-29T05:00:00.000Z,234.8099975586,237.3300018311,237.8099975586,233.9700012207,236.2614593506,28481400
AAPL,2024-12-02T05:00:00.000Z,237.2700042725,239.5899963379,240.7899932861,237.1600036621,238.5112609863,48137100
AAPL,2024-12-03T05:00:00.000Z,239.8099975586,242.6499938965,242.7599945068,238.8999938965,241.5574951172,38861000
AAPL,2024-12-04T05:00:00.000Z,242.8699951172,243.0099945068,244.1100006104,241.25,241.9158782959,44383900
